Departamento,Provincia,Municipio,Ciudad / Comunidad,Total Asistencia Escolar,"Si, auna pública","Si, a una privada","Si, a una de convenio",No asiste,Sin especificar,Total Idioma Aprendido,Castellano,Quechua,Aymara,Guaraní,Otros Idiomas Oficiales,Otros Idiomas,Idioma extranjero,Sin especificar,No habla
La Paz,Murillo,El Alto,ALTO MILLUNI,70,49,3,5,11,2,347,160,3,172,0,0,0,0,3,9
La Paz,Murillo,El Alto,EL INGENIO,218,183,7,7,21,0,886,400,1,440,0,0,0,2,8,35
La Paz,Murillo,El Alto,MILLUNI BAJO,104,86,4,0,14,0,339,97,5,221,0,0,0,0,3,13
La Paz,Omasuyos,Achacachi,ACHACACHI,3016,2321,148,152,371,24,9302,4045,31,4586,3,30,0,5,310,292
La Paz,Omasuyos,Achacachi,ARASAYA CHICO,42,37,2,1,2,0,126,38,0,84,0,0,0,0,0,4
La Paz,Omasuyos,Achacachi,ARASAYA KENTUYO,24,22,0,0,2,0,105,32,1,67,0,0,0,0,1,4
La Paz,Omasuyos,Achacachi,ARASAYA PATANINI,27,22,2,2,1,0,102,13,0,86,0,0,0,0,0,3
La Paz,Omasuyos,Achacachi,BARCO BELEN,97,83,1,7,5,1,305,62,0,237,0,0,0,1,4,1
La Paz,Omasuyos,Achacachi,BARCO CALA CALA,14,14,0,0,0,0,57,6,0,48,0,0,0,0,1,2
La Paz,Omasuyos,Achacachi,CALA CALA,151,134,1,1,14,1,537,43,0,477,0,1,0,0,2,14
La Paz,Omasuyos,Achacachi,CHAHUIRA CHICO,65,52,2,4,7,0,196,71,0,115,0,1,0,0,1,8
La Paz,Omasuyos,Achacachi,CHAHUIRA GRANDE,44,42,0,2,0,0,167,17,1,147,0,0,0,0,2,0
La Paz,Omasuyos,Achacachi,CHAHUIRA PAMPA,181,149,11,5,16,0,601,168,0,405,0,0,0,0,6,22
La Paz,Omasuyos,Achacachi,CHIJIPINA CHICO,233,31,5,173,23,1,755,222,2,494,0,0,0,2,5,30
La Paz,Omasuyos,Achacachi,CHIJIPINA GRANDE,358,293,17,16,29,3,1104,396,1,670,0,1,0,1,6,29
La Paz,Omasuyos,Achacachi,CHURUHUATA BELEN,53,50,0,0,3,0,158,2,0,154,0,0,0,0,1,1
La Paz,Omasuyos,Achacachi,IRAMA BELEN,135,122,3,2,8,0,452,34,0,201,0,30,0,0,164,23
La Paz,Omasuyos,Achacachi,JAHUIR LACA,88,74,3,2,7,2,280,41,0,130,0,9,0,0,85,15
La Paz,Omasuyos,Achacachi,KJASINA,112,95,2,1,14,0,366,26,0,324,0,0,0,0,6,10
La Paz,Omasuyos,Achacachi,MARCA MASAYA,79,68,3,0,7,1,263,66,0,190,0,0,0,0,1,6
La Paz,Omasuyos,Achacachi,MOROCOLLO,36,32,0,0,4,0,123,29,1,93,0,0,0,0,0,0
La Paz,Omasuyos,Achacachi,PAJCHANI GRANDE,130,116,2,1,11,0,471,42,0,344,0,11,0,0,58,16
La Paz,Omasuyos,Achacachi,PAJCHANI MOLINO,60,51,1,2,6,0,322,13,0,245,2,15,0,0,36,11
La Paz,Omasuyos,Achacachi,PALLARETE,33,30,1,2,0,0,210,23,0,185,0,0,0,0,0,2
La Paz,Omasuyos,Achacachi,PAMPA BELEN,109,84,4,4,15,2,432,9,0,210,3,30,0,0,158,22
La Paz,Omasuyos,Achacachi,PUTUNI,19,15,0,4,0,0,97,12,0,71,0,0,0,0,6,8
La Paz,Omasuyos,Achacachi,QUENAQUETARA BELEN,71,69,0,0,2,0,186,32,0,150,0,0,0,0,2,2
La Paz,Omasuyos,Achacachi,AVICHACA,261,219,7,4,28,3,860,115,0,710,0,0,0,0,11,24
